FireGirlTrials_PolicyComparisons_1 Outputs


PATHWAYS GENERATED UNDER a LET-BURN POLICY
supp_ave,supp_min,supp_max,supp_std,supp_95_low,supp_95_high,harv_ave,harv_min,harv_max,harv_std,harv_95_low,harv_95_high,grwth_ave,grwth_min,grwth_max,grwth_std,grwth_95_low,grwth_95_high,cells_burned_ave,cells_burned_min,cells_burned_max,cells_burned_std,cells_burned_95_low,cells_burned_95_high,timb_lost_ave,timb_lost_min,timb_lost_max,timb_lost_std,timb_lost_95_low,timb_lost_95_high,supp_decicions
0.0,0.0,0.0,0.0,0.0,0.0,4097.635,1564.56,7421.167,1507.48,7125.497,1069.773,4272.846,1564.443,7782.706,1595.406,7477.313,1068.379,5.24,1.0,110.0,16.52,114.958,-27.941,13.877,0.0,110.0,50.325,114.958,-87.204,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4189.211,1643.528,7246.847,1452.141,7105.921,1272.5,4371.032,1630.34,7621.326,1539.749,7463.709,1278.355,5.46,1.0,102.0,15.0,87.156,-24.669,8.508,0.0,102.0,39.157,87.156,-70.14,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4186.273,1704.419,6970.929,1377.019,6952.097,1420.449,4371.947,1724.867,7309.951,1451.15,7286.667,1457.227,8.62,1.0,99.0,19.013,186.902,-29.568,28.245,0.0,99.0,78.991,186.902,-130.412,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4179.603,1723.564,6859.184,1319.979,6830.858,1528.348,4363.072,1760.442,7207.591,1392.826,7160.646,1565.498,10.86,1.0,103.0,23.104,232.672,-35.546,34.493,0.0,103.0,98.667,232.672,-163.687,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4174.637,1697.112,6693.631,1285.87,6757.383,1591.89,4357.86,1781.998,7009.998,1354.723,7078.901,1636.818,8.56,1.0,183.0,27.243,252.123,-46.159,32.041,0.0,183.0,109.572,252.123,-188.041,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4157.102,1815.147,6762.679,1264.04,6696.001,1618.204,4332.523,1899.494,7085.892,1336.392,7016.745,1648.301,8.86,1.0,166.0,26.909,258.371,-45.188,32.685,0.0,166.0,112.362,258.371,-193.001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4182.673,1798.76,6754.736,1288.169,6770.037,1595.309,4364.593,1889.156,7049.846,1354.318,7084.821,1644.366,52.82,1.0,2103.0,294.66,3310.503,-539.023,286.224,0.0,2103.0,1505.696,3310.503,-2738.055,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4192.197,1835.477,6742.84,1271.429,6745.937,1638.456,4376.251,1889.253,7046.253,1342.417,7072.575,1679.927,30.4,1.0,654.0,102.941,2528.389,-176.362,265.125,0.0,654.0,1126.81,2528.389,-1998.139,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4197.439,1873.539,6763.463,1263.247,6734.746,1660.133,4374.605,1919.727,7084.712,1334.302,7054.631,1694.58,20.8,1.0,245.0,46.02,927.021,-71.634,146.576,0.0,245.0,388.56,927.021,-633.869,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4217.241,1853.75,6764.968,1251.064,6730.077,1704.406,4401.93,1904.248,7076.115,1317.905,7049.02,1754.84,38.38,1.0,624.0,120.968,2540.195,-204.592,382.202,0.0,624.0,1074.399,2540.195,-1775.792,0.0
